,fecha,institution_id,logged_users
829,2018-08-10,294,1
830,2018-08-11,15,1
831,2018-08-13,13,1
832,2018-08-13,18,11
833,2018-08-16,580,4
834,2018-08-17,579,1
835,2018-08-20,583,1
836,2018-08-20,578,1
837,2018-08-21,7,1
838,2018-08-27,43,8
839,2018-08-28,762,11
840,2018-08-30,5,1
841,2018-09-01,603,29
842,2018-09-01,541,269
843,2018-09-01,0,411
844,2018-09-01,752,292
845,2018-09-01,653,39
846,2018-09-01,29,7020
847,2018-09-01,730,11
848,2018-09-01,1,893
849,2018-09-01,75,388
850,2018-09-01,746,2942
851,2018-09-01,554,2796
852,2018-09-01,731,134
853,2018-09-01,747,568
854,2018-09-01,12,2032
855,2018-09-01,721,148
856,2018-09-01,115,115
857,2018-09-01,708,1764
858,2018-09-01,727,835
859,2018-09-01,749,303
860,2018-09-02,228,12
861,2018-09-02,586,1
862,2018-09-03,760,18
863,2018-09-03,762,23
864,2018-09-03,753,32
865,2018-09-03,677,47
866,2018-09-03,717,49
867,2018-09-03,82,277
868,2018-09-03,736,14
869,2018-09-03,756,45
870,2018-09-03,748,8
871,2018-09-03,48,200
872,2018-09-04,728,7
873,2018-09-04,741,127
874,2018-09-04,754,3
875,2018-09-04,18,18
876,2018-09-05,580,3
877,2018-09-05,459,1
878,2018-09-05,757,1
879,2018-09-06,524,1
880,2018-09-07,157,3
881,2018-09-09,44,7
882,2018-09-10,687,4
883,2018-09-11,764,34
884,2018-09-11,5,1
885,2018-09-12,552,1
886,2018-09-13,715,1
887,2018-09-13,716,3
888,2018-09-16,361,1
889,2018-09-20,54,1
890,2018-09-20,24,1
891,2018-09-20,43,3
892,2018-09-20,375,1
893,2018-09-24,65,1
894,2018-09-25,739,1
895,2018-09-25,738,2
896,2018-09-25,709,1
897,2018-10-01,1,1970
898,2018-10-01,75,344
899,2018-10-01,736,52
900,2018-10-01,12,2066
901,2018-10-01,721,238
902,2018-10-01,760,11
903,2018-10-01,82,309
904,2018-10-01,708,1565
905,2018-10-01,749,223
906,2018-10-01,29,6415
907,2018-10-01,741,46
908,2018-10-01,727,515
909,2018-10-01,115,108
910,2018-10-01,752,164
911,2018-10-01,603,45
912,2018-10-01,715,1
913,2018-10-01,753,104
914,2018-10-01,48,298
915,2018-10-01,653,66
916,2018-10-01,746,694
917,2018-10-01,541,288
918,2018-10-01,730,28
919,2018-10-01,764,76
920,2018-10-01,0,300
921,2018-10-01,717,172
922,2018-10-01,756,13
923,2018-10-01,677,26
924,2018-10-01,747,267
925,2018-10-01,554,448
926,2018-10-01,731,85
927,2018-10-02,13,3
928,2018-10-02,761,1
929,2018-10-02,743,1
930,2018-10-02,18,15
931,2018-10-03,315,1
932,2018-10-03,23,9
933,2018-10-04,54,1
934,2018-10-05,17,2
935,2018-10-07,44,4
936,2018-10-07,228,3
937,2018-10-08,728,1
938,2018-10-09,687,2
939,2018-10-09,709,1
940,2018-10-10,762,27
941,2018-10-11,580,3
942,2018-10-15,157,10
943,2018-10-16,720,1
944,2018-10-16,586,1
945,2018-10-17,536,1
946,2018-10-18,468,1
947,2018-10-25,757,3
948,2018-10-25,748,2
949,2018-10-25,24,1
950,2018-10-25,524,2
