,id,Cliente,Usuarios totales,Usuarios activos,Usuarios cargados 2018,Usuarios cargados 2019,Usuarios cargados 2020,Usuarios cargados 2021,Usuarios cargados 2022,Usuarios con ingreso a plataforma 2019,Usuarios con ingreso a plataforma 2020,Usuarios con ingreso a plataforma 2021,Usuarios con ingreso a plataforma 2022
125,131,Pontificia Universidad Javeriana,1,1,0,0,0,0,0,0,0,0,0
126,132,Corporacion Universitaria Iberoamericana,1,1,0,0,0,0,0,0,0,0,0
127,133,Corporacion Universitaria Ibero Americana,1,1,0,0,0,0,0,0,0,0,0
128,134,Universidad de los Andes Colombia,1,1,0,0,0,0,0,0,0,0,0
129,135,LOGyCA,4,3,0,0,0,0,0,0,0,0,0
130,136,Universidad Externado de Colombia,1,1,0,0,0,0,0,0,0,0,0
131,137,Fundacion Mustakis,1,1,0,0,0,0,0,0,0,0,0
132,138,Institution Name,1,1,0,0,0,0,0,0,0,0,0
133,139,Not in institiute,2,2,0,0,0,0,0,0,0,0,0
134,140,Berkeley,2,2,0,0,0,0,0,0,0,0,0
135,141,Education,2,2,0,0,0,0,0,0,0,0,0
136,142,catalog,2,2,0,0,0,0,0,0,0,0,0
137,143,SB Capacitación,4,2,0,0,0,0,0,0,0,0,0
138,144,logyca,1,1,0,0,0,0,0,0,0,0,0
139,145,Salesforce,7,3,0,0,0,0,0,0,0,0,0
140,146,none,2,2,0,0,0,0,0,0,0,0,0
141,147,Cegos,2,2,0,0,0,0,0,0,0,0,0
142,148,Sia Partners,2,2,0,0,0,0,0,0,0,0,0
143,149,Andes Iron,10,9,0,0,0,0,0,0,0,0,0
144,150,CNN Chile,1,1,0,0,0,0,0,0,0,0,0
145,151,Komensky,4,4,0,0,0,0,0,0,0,0,0
146,152,SpringBoard,1,1,0,0,0,0,0,0,0,0,0
147,153,Hult,2,2,0,0,0,0,0,0,0,0,0
148,154,Testing,2,2,0,0,0,0,0,1,0,0,0
149,155,Elecmetal,1,1,0,0,0,0,0,0,0,0,0
150,156,Universidad de La Serena,2,2,0,0,0,0,0,0,0,0,0
151,157,UDP en Línea,578,246,4,0,0,0,0,2,3,0,1
152,158,Privado,2,2,0,0,0,0,0,1,0,0,0
153,159,KAMK University of Applied Sciences,2,2,0,0,0,0,0,0,0,0,0
154,160,Alkance,2,2,0,0,0,0,0,0,0,0,0
155,161,teste,1,1,0,0,0,0,0,0,0,0,0
156,162,blaabl,1,1,0,0,0,0,0,0,0,0,0
157,163,UC Berkeley Center for Executive Education,45,45,0,0,0,1,0,0,0,0,0
158,164,ctv2,2,2,0,0,0,0,0,0,0,0,0
159,165,I.E.S.INGLÉS Y FRANCÉS,2,2,0,0,0,0,0,0,0,0,0
160,166,UCBerkeley,1,1,0,0,0,0,0,0,0,0,0
161,167,Iutepi,2,2,0,0,0,0,0,0,0,0,0
162,168,CHRISTOPHE PRAUD,2,2,0,0,0,0,0,0,0,0,0
163,169,Escuela Colombiana de Carreras Industriales ECCI,5,4,0,0,0,0,0,0,0,0,0
164,170,Y-nov,2,2,0,0,0,0,0,0,0,0,0
165,172,Webkeyz,2,2,0,0,0,0,0,0,0,0,0
166,173,Consultor,2,2,0,0,0,0,0,0,0,0,0
167,174,ASCS Capacitación,4,4,0,0,0,0,0,0,0,0,0
168,175,Emilio,2,2,0,0,0,0,0,0,0,0,0
169,176,plop,1,1,0,0,0,0,0,0,0,0,0
170,177,Schaeffler,2,2,0,0,0,0,0,0,0,0,0
171,178,INNCUBATED,1,1,0,0,0,0,0,0,0,0,0
172,179,CrossKnowledge,2,2,0,0,0,0,0,0,0,0,0
173,180,Individual,2,2,0,0,0,0,0,0,0,0,0
174,181,Universidad ,2,2,0,0,0,0,0,0,0,0,0
175,182,instituto valle central,2,2,0,0,0,0,0,0,0,0,0
176,183,Centro de Capacitación World Vision,2,2,0,0,0,0,0,0,0,0,0
177,184,Poder Judicial,2,2,0,0,0,0,0,0,0,0,0
178,185,eLearning Latin America,2,2,0,0,0,0,0,0,0,0,0
179,186,Clase Ejecutiva,2,2,0,0,0,0,0,0,0,0,0
180,187,Insightly University,3,3,0,0,0,0,0,0,0,0,0
181,188,Redemprendia,9,5,0,0,0,0,0,0,0,0,0
182,189,iLabUC,3,2,0,0,0,0,0,0,0,0,0
183,190,Amir Kabir University of Tehran,2,2,0,0,0,0,0,0,0,0,0
184,191,instituto einstein,1,1,0,0,0,0,0,0,0,0,0
185,192,Zoominfo University,4,4,0,0,0,0,0,0,0,0,0
186,193,UNIS-MG,2,2,0,0,0,0,0,0,0,0,0
187,194,Fundacap,2,2,0,0,0,0,0,0,0,0,0
188,195,personal,2,2,0,0,0,0,0,0,0,0,0
189,196,Think & co,2,2,0,0,0,0,0,0,0,0,0
190,197,Schneider Electric,2,2,0,0,0,0,0,0,0,0,0
191,198,Universidad Rey Juan Carlos online,2,2,0,0,0,0,0,0,0,0,0
192,199,Innspiral,2,2,0,0,0,0,0,0,0,0,0
193,200,EscolaMedicinaSãoPaulo,1,1,0,0,0,0,0,0,0,0,0
194,201,JCCM,1,1,0,0,0,0,0,0,0,0,0
195,202,NeoSpheres,2,2,0,0,0,0,0,0,0,0,0
196,203,Pontificia universidad catolica  ,2,2,0,0,0,0,0,1,0,0,0
197,204,Institution,2,2,0,0,0,0,0,0,0,0,0
198,205,Draper University,6,4,0,0,0,0,0,0,0,0,0
199,206,Escuela Bancaria y Comercial,6,5,0,0,0,0,0,0,0,0,0
200,207,Strongroom Solutions,2,2,0,0,0,0,0,0,0,0,0
201,208,Programmes de formation MS Inc.,2,2,0,0,0,0,0,0,0,0,0
202,209,Ministerio de Educación de Chile,2,2,0,0,0,0,0,0,0,0,0
203,210,UTFSM,2,2,0,0,0,0,0,0,0,0,0
204,211,Resonance,2,2,0,0,0,0,0,0,0,0,0
205,212,Prefeitura Dois Vizinhos,2,2,0,0,0,0,0,0,0,0,0
206,213,White Hole Creative,2,2,0,0,0,0,0,0,0,0,0
207,214,colegio almenar,2,2,0,0,0,0,0,0,0,0,0
208,215,Universidade Chile,2,2,0,0,0,0,0,0,0,0,0
209,217,Facultad de Ciencias Físicas y Matemáticas,3,3,0,0,0,0,0,0,0,0,0
